DEPARTAMENTO,PERIODO,POB_TOTAL,QRESIDUOS_MUN
AMAZONAS,2014,421122,52410.659999999996
AMAZONAS,2021,428512,49820.04
ANCASH,2014,1142409,192847.7
ANCASH,2021,1188391,241928.54
APURIMAC,2014,456652,50967.35
APURIMAC,2021,430609,62888.47
AREQUIPA,2014,1273180,285226.24
AREQUIPA,2021,1526669,355362.38
AYACUCHO,2014,681149,99210.47
AYACUCHO,2021,669979,125672.64
CAJAMARCA,2014,1525064,145616.54
CAJAMARCA,2021,1455245,157737.53999999998
CALLAO,2014,999976,342302.22
CALLAO,2021,1151480,392934.69
CUSCO,2014,1308806,246230.38
CUSCO,2021,1369932,236022.52
HUANCAVELICA,2014,491278,38399.32
HUANCAVELICA,2021,358356,42106.270000000004
HUANUCO,2014,854234,94988.31999999999
HUANUCO,2021,758416,108532.27
ICA,2014,779372,181573.41999999998
ICA,2021,998144,249251.25
JUNIN,2014,1341064,218725.52
JUNIN,2021,1369003,281872.96
LA LIBERTAD,2014,1836960,376197.67
LA LIBERTAD,2021,2048492,453611.48
LAMBAYEQUE,2014,1250349,264474.09
LAMBAYEQUE,2021,1325912,323825.66
LIMA,2014,9685490,3018914.03
LIMA,2021,10814450,3583813.55
LORETO,2014,1028968,218770.72
LORETO,2021,1037055,237018.03
MADRE DE DIOS,2014,134105,21729.3
MADRE DE DIOS,2021,179688,43821.98
MOQUEGUA,2014,178612,33213.23
MOQUEGUA,2021,195185,49844.49
PASCO,2014,301988,42228.12
PASCO,2021,270842,36563.16
PIURA,2014,1829496,361333.36
PIURA,2021,2077039,450131.1
PUNO,2014,1402496,209927.63999999998
PUNO,2021,1233277,220508.05
SAN MARTIN,2014,829520,163403.63999999998
SAN MARTIN,2021,912674,205598.46
TACNA,2014,337583,75612.14
TACNA,2021,377842,81824.32
TUMBES,2014,234638,48797.16
TUMBES,2021,255712,68582.8
UCAYALI,2014,489664,121851.25
UCAYALI,2021,602400,155083.35
